,name,locality,total_reviews,overall_service_score,overall_facility_score,overall_cost_score
48,Hospital Alor Setar Lama,Alor Setar,4,3.1025172375473855,3.1025172375473855,2.788823223287506
49,"Clinical Research Center (CRC) Alor Setar, Hospital Sultanah Bahiyah",Alor Setar,2,3.077646446575012,3.077646446575012,2.5
50,Hospital Bahagia Ulu Kinta,Tanjung Rambutan,20,2.7310585786300052,2.5,2.03788284273999
51,Hospital Wad Psikiatri | Pesakit Jiwa | Call Us,Tanjung Rambutan,4,2.5,2.5,2.5
52,One Stop Physiotherapy Changlun,Changlun,10,2.9621171572600096,2.9621171572600096,2.5
53,MY Psychology （MY 心理学）,Kuala Lumpur,15,4.166742409600633,2.96211715726001,2.03788284273999
54,THE MIND FACULTY,Kuala Lumpur,15,4.99016156533385,2.7310585786300052,2.5
55,Dr Seed Specialist Clinic (Psychiatry),Kuala Lumpur,20,2.6592815297854537,2.5,2.5
56,Serene Psychological Services,Kuala Lumpur,15,4.09353409651533,2.7310585786300052,2.8807970779778826
57,Dr. Khairi Rahman,Kuala Lumpur,3,2.5,2.5,2.5
58,Introspect Specialist Clinic (Psychiatry) 身心精神科诊所,Kuala Lumpur,6,3.6884539477798555,3.270195262100016,2.5
59,Klinik Pakar Au Yong,Kuala Lumpur,6,3.610978812713462,3.5074552020662715,1.480240572320188
60,Serene Psychology Centre,Kuala Lumpur,15,2.5095430304375768,2.9990889488056,2.5
61,"Adult and Child & Adolescent Psychiatrist, Dr Hamidin Specialist Clinic",Kuala Lumpur,12,3.867336808307245,2.788823223287506,2.5
62,International Psychology Centre (KL),Kuala Lumpur,10,3.8734498125636527,2.7310585786300052,1.7756342722942802
63,Neuropsy Clinic,Kuala Lumpur,10,2.864963577077197,2.2689414213699948,2.2689414213699948
64,Dr. Rabin Gonzaga,Kuala Lumpur,3,2.579872652869238,2.5,2.5
65,People Psychological Solutions,Kuala Lumpur,12,3.5785135850197385,3.6433641051030548,2.5
66,Klinik Peace of Mind,Kuala Lumpur,2,2.5,2.5,2.5
67,Dr. Lâle Merlet Clinical Psychologist & Psychotherapist Mont Kiara,Kuala Lumpur,1,2.5,2.5,2.5
68,Klinik Pakar John Tan,Kuala Lumpur,5,3.1009575461796217,2.6224593312018545,1.5757656854799804
69,Chin Cheuk Ngen,Kuala Lumpur,1,2.5,2.5,2.5
70,Valley Psychological Services,Kuala Lumpur,10,3.7141682827781985,2.7310585786300052,2.2689414213699948
71,MentCouch,Kuala Lumpur,5,3.3429142352378918,3.1118556566078874,2.880797077977882
72,Growing Space Psychology Center,Kuala Lumpur,2,4.327604693020392,2.5,2.5
73,Share Resolve: Psychologists in KL,Kuala Lumpur,2,4.029639141519718,2.5,2.5
74,MY Confidential,Kuala Lumpur,5,4.437798928171375,2.5813200792821274,2.5
75,"Archdiocesan Mental Health Ministry, Archdiocese of Kuala Lumpur",Kuala Lumpur,1,4.910068950189542,4.403985389889412,2.5
76,Mental Health Wellness Center & Psychologist Kuala Lumpur - 360 Wellness Hub,Kuala Lumpur,5,4.176816459952167,2.9621171572600096,2.5
77,Dr. Francis Low Chee Chan,Kuala Lumpur,4,2.5,2.5,2.5
78,Nur Psychology Center (NPC),Kuala Lumpur,1,2.5,2.5,2.5
79,"The Mind Hub, Malaysian Mental Health Association",Kuala Lumpur,2,2.5,2.5,0.9703608584802816
80,Dr. Brian K. W. Ho,Kuala Lumpur,4,4.016798099059821,2.653074164002318,1.4463572059526348
81,Methadone Clinic HKL,Kuala Lumpur,1,2.5,2.5,2.5
82,KPJ Tawakkal Health Centre,Kuala Lumpur,5,3.6051628056836025,2.9621171572600096,2.731058578630005
83,Poliklinik Pakar Perubatan Jitra,Jitra,2,4.910068950189542,3.6552928931500244,4.403985389889412
84,Global Doctors Clinic Langkawi,Langkawi,10,3.409901927674931,2.9525741268224337,2.9820137900379082
85,Psychiatric House For Peculiar People,Langkawi,3,3.707276212842867,3.270195262100016,2.5
86,Klinik Govin,Langkawi,4,3.4107324443417126,2.788823223287506,2.5
87,Klinik Pakar Dr Yeoh & Dr Hazli Mental Health Specialist,Cheras,15,2.7509552114079034,2.7310585786300052,2.5
88,Dr Nor Hamidah Specialist Clinic (Gleneagles KL MOB Specialist Clinics),Ampang,4,3.6552928931500244,3.6552928931500244,2.5
89,"Jabatan Perubatan Psikologi , PPUM",Wilayah Persekutuan,15,2.082231130476528,2.268941421369995,2.03788284273999
90,Hospital Psikiatri | Pesakit Jiwa | Call Us,WP,2,2.5,2.5,2.5
91,TAN & NG PSYCHIATRY CLINIC (PJ),Petaling Jaya,15,4.6093375230473885,3.3840534871576198,2.3914007525718497
92,Deva Dass Specialist Clinic,Petaling Jaya,5,4.308692143913939,2.731058578630005,3.1118556566078874
93,Brain Mind Specialist Clinic,Petaling Jaya,5,1.5997350649577282,2.0179862099620918,2.513860083773704
94,Raintree Specialist Clinic,Petaling Jaya,5,4.2027458945576255,2.119202922022118,2.268941421369995
95,Malaysian Mental Health Association,Petaling Jaya,10,3.584754525726729,2.9621171572600096,2.9525741268224333
96,Eve Psychosocial Rehabilitation Centre,Petaling Jaya,5,3.481102738843508,3.1118556566078874,2.880797077977882
97,A. H. Lee Specialist Clinic,Petaling Jaya,5,4.275993529755845,3.193175735890015,2.268941421369995
98,Dr. Ting Joe Hang,Petaling Jaya,1,4.403985389889412,4.403985389889412,1.3447071068499756
99,"Abri Integrated Mental Health - Individual, Couple/Marital, Child, Family Counseling & Therapy Centre",Petaling Jaya,5,3.647249174769395,3.1118556566078874,2.268941421369995
100,Soul Mechanics Therapy Center,Petaling Jaya,5,2.9820137900379082,2.6224593312018545,2.5
101,Process Psychology Center,Petaling Jaya,5,2.9525741268224333,3.183632705452438,2.9525741268224333
102,Shal Home Care,Petaling Jaya,3,3.134661796629804,2.5,3.134661796629804
103,Ding Psychology Centre,Petaling Jaya,5,3.8153849948382246,2.731058578630005,2.5
104,Befrienders KL,Petaling Jaya,5,4.469578037075188,3.1118556566078874,2.0474258731775667
105,Chong Specialist Clinic (Mental Health),Malacca,3,2.915074647653494,2.5,3.71430992578895
106,Yeoh Psychiatric Clinic,Malacca,5,4.843896905437451,3.3429142352378918,2.268941421369995
107,Jabatan Psikiatri @ Melaka,Malacca,3,4.352533844129035,3.270195262100016,2.5
108,Klinik Khaw,Malacca,1,2.5,2.5,2.5
109,Klinik Dr. Yee,Melaka,5,3.3410854972503827,2.731058578630005,2.9525741268224333
110,Bright Child Specialist Clinic,Melaka,5,3.154637496701363,2.9621171572600096,2.731058578630005
111,"Poliklinik Bandar, Melaka",Melaka,5,3.1118556566078874,3.7859453316227487,2.6497384993478774
112,KLINIK BUKIT BERUANG,Melaka,5,3.994719403556264,3.2130723686679135,2.5
113,Dr. Abu Bakar Ab. Rahman,Ayer Keroh,1,4.403985389889412,3.6552928931500244,2.5
114,"Jabatan Psikiatri & Kesihatan Mental, Hospital Tuanku Ja'afar",Seremban,5,3.645749862712448,3.1118556566078874,2.731058578630005
115,Growing Space Psychology Center,Seremban,4,3.6552928931500244,2.788823223287506,2.5
116,D'Dawn Psychological Development Center,Seremban,1,2.5,2.5,2.5
117,Louis Center for Children with Special Needs Seremban,Seremban,3,4.103528595432926,2.8850976310500083,2.1149023689499917
118,Klinik psikiatri bukit Rasah Seremban,Seremban,1,3.6552928931500244,3.6552928931500244,2.5
119,Town Klinik,Seremban,1,3.6552928931500244,2.5,2.5
120,Klinik Tan,Seremban,5,1.6371891319842091,2.119202922022118,2.268941421369995
121,Klinik Maria,Seremban,5,4.034999418667629,3.573972813867897,2.5
122,MENTARI Port Dickson,Port Dickson,5,2.2319696298244054,2.268941421369995,2.268941421369995
123,Dr Wong Specialist Clinic (Psychiatry),Klang,4,3.451992694944706,2.5,2.5
124,Klinik Pakar Centinel,Klang,4,4.203505904801485,3.264819570759859,2.687173124184847
125,Ting Specialist Clinic,Puchong,10,3.059975777153275,2.9621171572600096,2.2689414213699948
126,Enrich Counselling & Therapy Centre,Puchong,1,2.5,2.5,2.5
127,Klinik Bandar Puteri,Puchong,5,3.452567982647831,3.2130723686679135,3.7141682827781977
128,Klinik Selva - Bandar Puteri 1,Puchong,5,3.2726120253737045,2.9621171572600096,2.047425873177567
129,"Pusat Pakar Psikologi Jiwadamai, Shah Alam",Shah Alam,5,3.7436079459936735,2.9621171572600096,2.268941421369995
130,Alaminda Specialist Clinic Shah Alam,Shah Alam,10,3.2285859554733696,3.611520306477421,2.5
131,PowerSub One-Stop Mental Health Care Services,Shah Alam,10,4.156613260465096,3.193175735890015,2.2689414213699948
132,Ward 32,Sungai Buloh,1,3.6552928931500244,2.5,2.5
133,Ward 33 HSB,Sungai Buloh,4,3.077646446575012,3.451992694944706,2.5
134,HPUPM Psychiatry Clinic & Ward,Seri Kembangan,2,0.5960146101105878,2.5,2.5
135,Psychalife Consultant,Seri Kembangan,5,3.6118548250798597,2.5,2.268941421369995
136,Klinik Orthopedik Hospital Serdang,Seri Kembangan,4,3.124999999952811,3.1219092210542065,2.5
137,Poliklinik South City,Seri Kembangan,5,4.093869140743569,2.7215155481924285,2.6224593312018545
138,Klinik Pakar John Tan,Pelabuhan Klang,5,3.2130723686679135,2.880797077977882,2.731058578630005
139,Chew Specialist Clinic (Psychiatry),Kota Kinabalu,3,2.937080950742851,2.5,2.5
140,Mind Wellness Clinic,Kota Kinabalu,1,3.6552928931500244,3.6552928931500244,2.5
141,Jolene Psychology and Hypnosis Centre,Kota Kinabalu,4,3.553642794047365,3.077646446575012,2.5
142,Bukit Padang Psychiatric Hospital,Kota Kinabalu,5,2.9621171572600096,2.5,2.9621171572600096
143,Serene Retreat Sabah,Kota Kinabalu,5,4.046443573468229,2.731058578630005,2.880797077977882
144,Klinik Pakar Dr. Leonard,Kota Kinabalu,5,3.4971920267128986,3.183632705452438,2.5
145,Kota Kinabalu Specialist Centre,Kota Kinabalu,4,1.4001424665206477,2.5,2.211176776712494
146,Klinik Dr.Choo & Liew,Kota Kinabalu,4,1.3990113327458997,2.5,2.5
147,KPJ Damai Care & Wellness Centre,Kota Kinabalu,5,2.9525741268224333,2.268941421369995,2.1986392115058075
148,SabahCare Specialist Clinic,Kota Kinabalu,5,2.6497384993478774,3.183632705452438,2.5
149,Faculty of Psychology and Education,Kota Kinabalu,1,2.5,2.5,2.5
150,Jesselton Medical Centre Sdn Bhd,Kota Kinabalu,5,2.687713836629131,3.261594155955765,1.768941533905157
151,KM Clinic Damai,Kota Kinabalu,5,4.696058678240121,3.7237113132157744,2.268941421369995
152,Poliklinik UMS,Kota Kinabalu,5,4.124405023971556,2.9621171572600096,2.5
153,Hospital Universiti Malaysia Sabah,Kota Kinabalu,1,2.5,2.5,2.5
154,Klinik Sabah,Kota Kinabalu,5,4.662112025376517,2.802835627474556,2.6497384993478774
155,Gleneagles Hospital Kota Kinabalu,Kota Kinabalu,5,3.2307232284995386,2.616730298865483,1.8881443433921128
156,"Queen Elizabeth Hospital, Kota Kinabalu",Kota Kinabalu,5,2.989132695282072,3.1118556566078874,2.268941421369995
157,Klinik Dr Ko (Kota Kinabalu),Kota Kinabalu,5,4.427240651446111,3.974666524623678,3.261594155955765
158,Solace Asia,Kota Kinabalu,5,4.214168280717044,2.9998766054240136,2.268941421369995
159,Papar Hospital,Kota Kinabalu,5,1.8163672945475617,2.3502615006521226,2.5
160,Pusat Rawatan Warga UMS,Kota Kinabalu,5,3.131752289385786,2.6497384993478774,2.268941421369995
161,Faculty of Medicine & Health Sciences,Kota Kinabalu,5,2.731058578630005,2.880797077977882,2.5
162,University Malaysia Sabah,Kota Kinabalu,5,2.731058578630005,2.5,2.5
163,Hospital Ranau,Ranau,5,3.2285859554733705,3.2285859554733705,2.5
164,Klinik Kota Belud,Kota Belud,3,2.1149023689499917,2.5,2.5
165,Klinik & Surgeri H. Singh,Sandakan,3,1.865338203370196,2.5,2.5
166,Sandakan Ren Ai Counseling Association Sabah,Sandakan,1,2.5,2.5,2.5
167,"Duchess of Kent Hospital, Sandakan",Sandakan,5,3.2976243814839608,3.3018301377355,2.5
168,Tawau Specialist Polyclinics Centre Sdn Bhd,Tawau,5,3.959309183972908,3.7954883620603255,2.5
169,Tawau Hospital,Tawau,5,3.261594155955765,2.731058578630005,2.5
170,Keningau Hospital,Keningau,5,3.3429142352378918,3.1118556566078874,2.5
171,Semporna Hospital,Semporna,5,2.612510071097833,2.7509552114079034,2.268941421369995
172,Klinik Millenium,Labuan,10,2.0378828427399904,2.268941421369995,2.0378828427399904
173,Labuan Hospital,Labuan,10,3.6362068322748717,2.731058578630005,2.7310585786300052
174,Klinik Wilayah,Labuan,10,2.1192029220221174,2.418679920717872,2.0378828427399904
175,Klinik Wawasan Labuan,Labuan,5,3.665646495490347,3.333371204800316,2.880797077977882
176,Klinik Ramlee & Partners,Labuan,1,2.5,2.5,2.5
177,Klinik Suria (Labuan) Sdn. Bhd.,Labuan,5,3.6950861587058212,3.492652734585769,2.5
178,Klinik Dr Tan,Labuan,5,2.9998766054240136,2.9975273768433652,2.268941421369995
179,Klinik Kesihatan UTC Labuan,Labuan,5,2.3502615006521226,2.731058578630005,2.268941421369995
180,Klinik Desa Sungai Lada,Labuan,1,2.5,2.5,2.5
181,Jabatan Perkhidmatan Veterinar (Klinik),Labuan,5,3.167181562355821,2.9621171572600096,2.5
182,Pejabat Kesihatan Daerah Wilayah Persekutuan Labuan,Labuan,1,2.5,2.5,2.5
183,Labuan Matriculation College,Labuan,5,2.731058578630005,2.5,2.5
184,Universiti Malaysia Sabah Kampus Antarabangsa Labuan,Labuan,1,3.6552928931500244,3.6552928931500244,2.5
185,Saima Sabah M.D.,Downers Grove,1,2.5,2.5,2.5
186,"Sabah Hadi, MD",Ashburn,5,4.225621736031582,2.731058578630005,2.5
187,Dr. Sabah N. Chammas,Encinitas,1,2.5,2.5,2.5
188,sabha Hospital,Al Kuwayt,2,4.029639141519718,3.451992694944706,3.077646446575012
189,Yap Psychiatric Specialist Clinic,Kuching,4,4.918080652855444,2.788823223287506,2.1030319047579455
190,Permai Psychiatric (Specialist) Clinic 柏迈心理专科诊所 Klinik Kesihatan Mental,Kuching,1,4.999969279126989,4.910068950189542,2.5
191,Sentosa Hospital,Kuching,4,3.124999999999984,3.1219092210542065,2.5
192,"Acute Psychiatric Ward, Sarawak General Hospital",Kuching,1,2.5,2.5,2.5
193,Mental Health Association of Sarawak (Kuching Office),Kuching,2,3.743818442108413,2.5,2.5
194,Klinik Dominic Songan,Kuching,5,2.9231344636069583,2.119202922022118,1.704154521049
195,New Health Counseling Kuching,Kuching,1,4.910068950189542,3.6552928931500244,2.5
196,Dr. Albert Wong Sii Hieng,Kuching,1,4.999999998605266,3.6552928931500244,1.3447071068499756
197,Timberland Medical Centre,Kuching,5,2.8127848875785775,2.8535179098318593,2.0179862099620918
198,"Blok Klinik Pakar, Hospital Umum Sarawak",Kuching,1,2.5,2.5,2.5
199,T.Y. Wee Specialist Clinics for Children,Kuching,5,3.152739474623963,2.880797077977882,2.268941421369995
200,Hospital Umum Sarawak,Kuching,5,2.268941421369995,3.261594155955765,2.5
201,Borneo Medical Centre,Kuching,5,1.8642908862691048,1.7869276313320868,2.880797077977882
202,KPJ Kuching Specialist Hospital,Kuching,5,2.6497384993478774,2.731058578630005,2.119202922022118
203,Petra Jaya Health Clinic,Kuching,5,2.7155449918245482,2.3502615006521226,2.5
204,Borneo Specialist Hospital,Kuching,1,4.910068950189542,3.6552928931500244,2.5
205,"Psychiatry and Mental Health Department, Hospital Miri",Miri,1,0.5960146101105878,2.5,2.5
206,Columbia Asia Hospital - Miri,Miri,5,4.403985389889412,3.4242343145200196,2.5
207,Chong Specialist Clinic,Miri,4,3.5979055685265595,2.788823223287506,2.211176776712494
208,Goh Medical Specialist Clinic,Miri,1,2.5,2.5,2.5
209,Dr Kelvin Lau 刘会建心理精神专科诊所,Sibu,1,4.403985389889412,2.5,2.5
210,Eddy Su Specialist Clinic 蘇熙善心理精神專科診所,Sibu,1,4.987636884216826,3.6552928931500244,2.5
211,Siburan Clinic (Dr. Chai Chiun Pheng),Siburan,1,3.6552928931500244,3.6552928931500244,2.5
212,Columbia Asia Hospital - Bintulu,Bintulu,5,3.957334729151532,3.261594155955765,2.5
213,TAN & NG PSYCHIATRY CLINIC (IPOH BRANCH),Ipoh,8,3.9938576983822767,2.9759963474723534,2.5
214,TAN & NG Mental Health Specialist,Ipoh,6,4.54763949191512,3.63938784242073,2.5
215,Klinik Pakar Psikiatri,Ipoh,2,0.5960146101105878,1.3447071068499756,1.3447071068499756
216,Psychiatry & Mental Health Department,Ipoh,1,2.5,2.5,2.5
217,WMC Psychotherapy Centre,Ipoh,2,4.987636884216826,3.6552928931500244,2.5
218,Cheah & Lim Medical Associates Sdn. Bhd.,Ipoh,2,4.70187920027295,3.6552928931500244,2.5
219,KPJ Ipoh Specialist Hospital,Ipoh,5,1.2714594423953323,2.731058578630005,2.9820137900379082
220,Clinic B.S. Yeoh,Ipoh,1,2.5,2.5,2.5
221,Klinik Pakar Perubatan Tan,Ipoh,4,2.687173124184847,2.5,2.5
222,Klinik K L Tan,Ipoh,3,3.9380181133596515,3.519759427679812,2.5
223,Klinik Pergigian Ipoh Jaya,Ipoh,5,3.3429142352378918,3.1118556566078874,2.731058578630005
224,Perak Community Specialist Hospital,Ipoh,5,2.999993855825398,2.999993855825398,2.5
225,FITRAH NURSING CARE,Ipoh,2,3.705034475094771,3.451992694944706,2.5
226,Wong Medical Centre,Ipoh,5,4.621932400814922,3.840441612081257,2.5
227,Hospital Fatimah,Ipoh,5,2.7374160794238236,2.50422022776765,2.119202922022118
228,Dr. Shan Paediatrics & Child health clinic,Ipoh,5,4.745134191999234,2.6497384993478774,2.268941421369995
229,Dr. Saw Khay Chee,Ipoh,2,1.2508383753261663,1.3685646829439169,1.3685646829439169
230,Pantai Hospital Ipoh,Ipoh,5,3.9770685437246387,3.972848315956989,2.5
231,Pusat Jagaan Maju Jaya (PJMJ),Ipoh,1,2.5,4.403985389889412,2.5
232,Dr. Tan Wei Ming,Ipoh,1,2.5,2.5,2.5
233,Dr. Selvan a/l Nallayan,Ipoh,2,3.077646446575012,3.077646446575012,2.5
234,Klinik Pakar Kulit Ratti,Ipoh,3,3.519759427679812,2.8850976310500083,2.5
235,Simee Health Clinic,Ipoh,5,2.282395275477254,3.1118556566078874,2.5
236,klinik kasih ipoh,Ipoh,4,4.20758409649441,3.417893734762177,2.211176776712494
237,V S Loo Surgical Clinic Sdn Bhd,Ipoh,5,2.2395017581545202,2.010603674593967,1.8881443433921128
238,Perak Society for the Promotion of Mental Health,Ulu Kinta,2,2.5,2.5,2.5
239,Kompleks Psikiatri & Kesihatan Mental HSNZ,Kuala Terengganu,2,3.6552928931500244,2.5,2.5
240,Klinik Pakar Hashim,Kuala Terengganu,2,3.6314353170560834,3.451992694944706,2.5
241,KMI Kuala Terengganu Medical Centre,Kuala Terengganu,5,3.0537908388824593,2.9820137900379082,2.660756368765817
242,SALAM Specialist Hospital Kuala Terengganu,Kuala Terengganu,5,2.6674483881620743,1.8881443433921128,1.1750719747241996
243,UniSZA Medical Specialist Clinic,Kuala Terengganu,1,2.5,2.5,2.5
244,"Sultanah Nur Zahirah Hospital, Kuala Terengganu",Kuala Terengganu,5,2.119202922022118,2.268941421369995,2.268941421369995
245,Hospital Pengajar UniSZA,Kuala Terengganu,3,2.5,2.5,2.5
246,KLINIK SARAF DR FADZLAN AL-ASHIRIN,Kuala Terengganu,1,2.5,2.5,2.5
247,Klinik Kumpulan Muslimah,Kuala Terengganu,1,2.5,2.5,2.5
248,Nam Hoe Medical Hall,Kuala Terengganu,1,2.5,2.5,4.403985389889412
249,Klinik Nuraeen,Kuala Terengganu,5,3.261594155955765,3.414691284082443,2.5
250,Pusat Perubatan Intan Sdn. Bhd.,Kuala Terengganu,5,2.9820137900379082,2.802835627474556,2.119202922022118
251,Klinik Iddrus,Kerteh,1,2.5,2.5,2.5
252,Dr Tan Psychiatry Clinic (心理精神科）,Kuantan,2,2.5,2.5,2.5
253,Klinik Lee,Kuantan,4,3.2266497167248755,3.4126844092945054,2.8969680952420545
254,IIUM Family Health Clinic,Kuantan,5,3.5925634138835547,3.2130723686679135,2.119202922022118
255,IIUM MEDICAL CENTRE,Kuantan,5,3.261594155955765,3.231013180761302,2.6497384993478774
256,KPJ Pahang Specialist Hospital,Kuantan,5,3.492652734585769,2.880797077977882,2.660756368765817
257,Pahang Medical Centre,Kuantan,5,3.7237113132157744,3.4242343145200196,2.731058578630005
258,Darul Makmur Medical Centre,Kuantan,5,4.005856516439384,3.1118556566078874,2.268941421369995
259,Klinik Suffimas,Kuantan,2,2.5,2.5,2.5
260,Pahang Polyclinic Surgery & Maternal Child Health Centre,Kuantan,5,3.1118556566078874,2.5,2.5
261,Kuantan Medical Centre,Kuantan,5,3.5644297834303202,3.0224500513039603,2.0474258731775667
262,KLINIK PUTRAMEDIC KUANTAN INDERA MAHKOTA,Kuantan,5,4.243608441206338,3.492652734585769,2.268941421369995
263,KULLIYYAH OF MEDICINE,Kuantan,5,3.3429142352378918,3.3429142352378918,2.5
264,"Tengku Ampuan Afzan Hospital, Kuantan",Kuantan,5,2.9241418199787566,2.731058578630005,1.8881443433921128
265,Hospital KCDC /Kuantan Clinical Diagnostic Centre Sdn. Bhd.,Kuantan,5,3.7105997455112787,3.193175735890015,2.268941421369995
266,Setiu Hospital,Permaisuri,5,3.1118556566078874,2.9621171572600096,2.5
267,Klinik Kelulut Dr Fadzlan Al Ashirin,Marang,3,3.2542902113707224,2.5,2.5
268,Hulu Terengganu Hospital,Kuala Berang,5,2.731058578630005,3.1118556566078874,2.731058578630005
269,Besut Hospital,Besut,5,1.9694644226742402,2.3502615006521226,2.0378828427399904
270,Dungun Hospital,Kuala Dungun,5,2.2416622532239723,2.0474258731775667,2.119202922022118
271,Kemaman Hospital,Chukai,5,3.1118556566078874,2.731058578630005,2.268941421369995
272,Department of Mental Health Psikiatridan HRPZ II,Kota Bharu,6,2.1149023689499917,3.303356316729847,2.8850976310500083
273,Klinik Insaf,Kota Bharu,5,3.7141682827781977,3.193175735890015,2.5
274,KPJ Perdana Specialist Hospital,Kota Bharu,5,3.1721885506518377,3.5644297834303202,2.5
275,"Dr. Wee Tiang Goh (M.B.B.S. (S'pore) M.R.C.P. (UK) F.R.C.P. (Edin) A.M. (M'sia), Klinik Wee",Kota Bharu,2,2.5,2.5,2.5
276,"Raja Perempuan Zainab II Hospital, Kota Bharu",Kota Bharu,5,2.119202922022118,2.5,2.5
277,Kota Bharu Medical Centre,Kota Bharu,5,3.571652822740537,2.6497384993478774,2.5
278,Usains Tech Services Sdn. Bhd.,Kota Bharu,2,2.5,2.5,1.9223535534249878
279,Hospital Universiti Sains Malaysia Kubang Kerian,Kota Bharu,5,1.5948517463551335,2.731058578630005,2.5
