Unnamed: 0,name,locality,Preprocessed
60,Klinik Faizal dan Rakan-Rakan Larkin,Johor Bahru,"['manner', 'staff', 'directly', 'dumb', 'know', 'done', 'treatment', 'say', 'anything', 'shut', 'keep', 'going', 'room', 'stupid', 'people', 'want', 'go', 'see', 'button', 'door', 'ask', 'diorg', 'open', 'door', 'call', 'pon', 'shut', 'next', 'time', 'learn', 'little', 'manner']"
61,Klinik Faizal dan Rakan-Rakan Larkin,Johor Bahru,"['clinic', 'assistant', 'rude', 'rude', 'friendly', 'especially', 'indian', 'clinic', 'assistant', 'wonder', 'owner', 'chooses', 'worker', 'person', 'charge', 'counter', 'friendly', 'welcome', 'every', 'patient', 'org', 'already', 'sick', 'heartache', 'first', 'last', 'price', 'bit', 'expensive', 'expensive', 'tiptop', 'service', 'xde', 'problem', 'already', 'private', 'clinic', 'mean', 'afford', 'pay', 'use', 'service', 'track', 'money', 'doctor', 'normal', 'conclusion', 'better', 'come', 'regret']"
62,Shinewave Retreat - Rehabilitation centre & psychology counselling,Johor Bahru,"['perfect', 'module', 'pioneer', 'psychiatrist']"
63,Columbia Asia Hospital - Tebrau,Johor Bahru,"['clean', 'awesome', 'doctor', 'good', 'medicine', 'staff', 'good', 'one', 'best', 'hospital', 'give', 'star', 'columbia', 'asia', 'hospital']"
64,Columbia Asia Hospital - Tebrau,Johor Bahru,"['looking', 'dermatologist', 'highly', 'recommend', 'dr', 'lee', 'yoong', 'wei', 'professional', 'informative', 'took', 'time', 'ass', 'explain', 'sister', 'eczema', 'condition', 'like', 'doctor', 'seen', 'previously', 'elsewhere', 'diagnose', 'give', 'medication', 'looking', 'skin', 'help', 'smooth', 'process', 'registration', 'outpatient', 'clinic', 'payment', 'taking', 'medication']"
65,Columbia Asia Hospital - Tebrau,Johor Bahru,"['time', 'check', 'gynaecologist', 'staff', 'doctor', 'professional', 'friendly', 'surrounding', 'clean', 'parking', 'area', 'plentiful', 'great', 'hospital', 'consider', 'would', 'want', 'get', 'ops']"
66,Columbia Asia Hospital - Tebrau,Johor Bahru,"['gave', 'birth', 'baby', 'checkup', 'hospital', 'service', 'good', 'feel', 'getting', 'even', 'better', 'affordable', 'private', 'hospital', 'thanks', 'dr', 'eliza', 'smooth', 'delivery', 'dr', 'quek', 'taking', 'care', 'baby', 'staff', 'counter', 'helpful']"
67,Columbia Asia Hospital - Tebrau,Johor Bahru,"['today', 'plour', 'medical', 'checkup', 'thank', 'staff', 'enough', 'supportive', 'nice', 'u', 'doctor', 'columbia', 'asia', 'hospital', 'super', 'attentive', 'helpful']"
68,Kempas Medical Centre,Johor Bahru,"['recently', 'baby', 'delivered', 'hospital', 'nurse', 'kind', 'attentive', 'helpful', 'pediatrician', 'dr', 'adlena', 'skilled', 'knowledgeable', 'preterm', 'baby', 'ob', 'gyn', 'dr', 'kevin', 'lawson', 'kind', 'caring', 'man', 'explains', 'everything', 'thoroughly', 'make', 'feel', 'comfortable', 'entire', 'journey', 'extremely', 'skilled', 'craft', 'everything', 'right', 'way', 'want', 'help', 'many', 'couple', 'possible', 'handled', 'birth', 'baby', 'utmost', 'care', 'used', 'tool', 'disposal', 'including', 'specialist', 'medical', 'equipment', 'highly', 'recommend', 'dr', 'kevin', 'kempas', 'medical', 'center', 'trying', 'conceive', 'already', 'pregnant']"
69,Kempas Medical Centre,Johor Bahru,"['terrible', 'experience', 'appointment', 'made', 'day', 'perform', 'scope', 'check', 'stomach', 'upper', 'endoscopy', 'today', 'hold', 'around', 'pm', 'start', 'operation', 'reason', 'room', 'room', 'action', 'please', 'arrange', 'appointment', 'make', 'pm', 'instead', 'asked', 'fasting', 'since', 'pm', 'day', 'super', 'hungry', 'thirsty', 'pm', 'day', 'pm', 'today', 'hour', 'normally', 'hv', 'fast', 'hour', 'upper', 'endoscopy']"
70,Kempas Medical Centre,Johor Bahru,"['great', 'doctor', 'nurse', 'tip', 'top', 'medical', 'care', 'highly', 'recommended']"
71,Kempas Medical Centre,Johor Bahru,"['best', 'hospitality', 'friendly', 'staff', 'definitely', 'come', 'mro', 'staff', 'good', 'helpful']"
72,Kempas Medical Centre,Johor Bahru,"['appointment', 'made', 'perform', 'stomach', 'scope', 'check', 'reached', 'finish', 'covid', 'rtk', 'test', 'terrible', 'horrible', 'part', 'hold', 'pm', 'perform', 'scope', 'check', 'reason', 'room', 'perform', 'action', 'fasting', 'start', 'pm', 'day', 'normally', 'fast', 'hour', 'action', 'made', 'appointment', 'pm', 'arrangement', 'problem']"
73,Mohan Clinic And Surgery,Skudai,"['doctor', 'mohan', 'best', 'one', 'whenever', 'go', 'feel', 'happy', 'heart', 'heavy', 'come', 'back', 'feel', 'satisfied', 'talk', 'best', 'doctor', 'ever', 'meet', 'know', 'thst', 'price', 'higher', 'service', 'way', 'doctor', 'treat', 'patient', 'super', 'caring', 'humble', 'tell', 'truth', 'doctor', 'mohan', 'good', 'really', 'man', 'understand', 'patience', 'well', 'happy', 'meet']"
74,Mohan Clinic And Surgery,Skudai,"['pricey', 'expensive', 'outside', 'clinic', 'show', 'got', 'ultrasound', 'machine', 'year', 'worth']"
75,Mohan Clinic And Surgery,Skudai,"['good', 'consulting', 'quite', 'high', 'price']"
76,Mohan Clinic And Surgery,Skudai,['disappointed']
77,Pusat Kaunseling,Skudai,"['counselling', 'office']"
78,Pusat Kaunseling,Skudai,"['currently', 'upgraded', 'restored']"
79,Agape Couselling Centre Malaysia Johor Bahru,Masai,['professional']
80,Agape Couselling Centre Malaysia Johor Bahru,Masai,"['teacher', 'qiu', 'ling', 'service', 'really', 'professional', 'really', 'cared', 'boai']"
81,Agape Couselling Centre Malaysia Johor Bahru,Masai,"['kind', 'little', 'girl', 'told', 'charge', 'arbitrary', 'pay', 'according', 'ability', 'happy', 'full', 'hope', 'financial', 'problem', 'nowadays', 'still', 'institution', 'society', 'look', 'money', 'different', 'appointment', 'day', 'met', 'tutor', 'twice', 'talked', 'sickness', 'family', 'without', 'going', 'deep', 'instinct', 'tell', 'tutor', 'thought', 'already', 'sentenced', 'death', 'teacher', 'woman', 'message', 'apology', 'wife', 'tutor', 'even', 'said', 'good', 'literary', 'talent', 'response', 'give', 'teacher', 'tutor', 'said', 'put', 'pressure', 'loss', 'sweat', 'raised', 'hand', 'speak', 'rejected', 'impatient', 'rushed', 'counselor', 'told', 'lot', 'appointment', 'next', 'know', 'minute', 'counter', 'tell', 'see', 'counter', 'announcement', 'stepping', 'door', 'bo', 'ai', 'downstairs', 'mind', 'blank', 'helpless', 'thought', 'professional', 'sick', 'wife', 'sick', 'child', 'sick', 'family', 'sick', 'else', 'help', 'guide']"
82,Agape Couselling Centre Malaysia Johor Bahru,Masai,"['teacher', 'qiu', 'ling', 'service', 'good', 'professional', 'love']"
83,Agape Couselling Centre Malaysia Johor Bahru,Masai,['good']
84,Dr BL Lim Centre For Psychological Wellness - Psychiatrist Singapore,Singapore,"['doctor', 'great', 'take', 'opinion', 'seriously', 'come', 'medication', 'however', 'reception', 'service', 'best', 'considering', 'reply', 'whatsapp', 'still', 'give', 'way', 'contact', 'edit', 'dr', 'lim', 'spoke', 'visit', 'assured', 'would', 'looked', 'really', 'appreciate']"
85,Dr BL Lim Centre For Psychological Wellness - Psychiatrist Singapore,Singapore,"['month', 'ago', 'mom', 'recommended', 'dr', 'lim', 'clinic', 'decided', 'seek', 'treatment', 'suspected', 'adhd', 'contrary', 'existing', 'review', 'appreciate', 'dr', 'lim', 'candor', 'straightforward', 'handful', 'empathy', 'consider', 'continuing', 'seek', 'treatment', 'dr', 'lim', 'overall', 'experience', 'leaf', 'much', 'desired', 'nd', 'review', 'accompanied', 'bf', 'requested', 'dr', 'lim', 'assist', 'diagnosis', 'felt', 'extremely', 'rushed', 'juxtaposed', 'min', 'long', 'st', 'consultation', 'mom', 'sat', 'oblivious', 'duration', 'subsequent', 'visit', 'min', 'session', 'found', 'unknowingly', 'paid', 'overrun', 'experience', 'could', 'improved', 'receptionist', 'inform', 'every', 'item', 'charged', 'clinic', 'visit', 'verbally', 'informed', 'review', 'min', 'session', 'fee', 'medication', 'additional', 'block', 'overrun', 'charged', 'full', 'itemised', 'bill', 'came', 'rude', 'shock', 'payment', 'made', 'though', 'receptionist', 'quick', 'explain', 'charge', 'enquired', 'provision', 'information', 'charge', 'session', 'begin', 'would', 'really', 'help', 'avoid', 'minor', 'inconsistency', 'service', 'stress', 'patient', 'could', 'avoided', 'meticulous', 'rundown', 'session', 'charge', 'would', 'still', 'consider', 'overall', 'experience', 'dr', 'lim', 'clinic', 'positive', 'one', 'based', 'st', 'consultation', 'despite', 'really', 'unpleasant', 'incident', 'nd', 'visit']"
86,Dr BL Lim Centre For Psychological Wellness - Psychiatrist Singapore,Singapore,"['psychiatrist', 'good', 'mostly', 'family', 'side', 'story', 'neglect', 'patient', 'helpful', 'reluctant']"
87,Dr BL Lim Centre For Psychological Wellness - Psychiatrist Singapore,Singapore,"['constant', 'low', 'mood', 'bad', 'anxiety', 'issue', 'finally', 'decided', 'get', 'help', 'went', 'see', 'dr', 'lim', 'last', 'year', 'name', 'first', 'came', 'google', 'search', 'result', 'session', 'diagnosed', 'adjustment', 'disorder', 'upon', 'question', 'diagnosis', 'actually', 'questioned', 'reason', 'visiting', 'empathetic', 'throughout', 'session', 'also', 'trying', 'implying', 'faking', 'illness', 'honestly', 'think', 'anyone', 'logical', 'mind', 'would', 'pay', 'travel', 'way', 'clinic', 'pretend', 'ill', 'family', 'outraged', 'cold', 'unempathetic', 'attitude', 'never', 'went', 'back', 'subsequently', 'found', 'caring', 'doctor', 'genuinely', 'cared', 'diagnosed', 'anxiety', 'depression', 'medicine', 'given', 'well', 'lesson', 'learnt', 'choose', 'first', 'doctor', 'see', 'search', 'result', 'read', 'review', 'visiting', 'imagine', 'patient', 'lowest', 'decided', 'seek', 'help', 'treated', 'like', 'bad', 'experience', 'even', 'deserve', 'star', 'definitely', 'visit', 'clinic', 'also', 'recommend', 'clinic', 'seeking', 'hope', 'troubled', 'time', 'illness']"
88,Dr BL Lim Centre For Psychological Wellness - Psychiatrist Singapore,Singapore,"['anxiety', 'disorder', 'insomnia', 'couple', 'month', 'ago', 'due', 'work', 'stress', 'issue', 'lacking', 'focus', 'life', 'many', 'year', 'seek', 'help', 'dr', 'lim', 'april', 'diagnosed', 'mild', 'depression', 'glad', 'visit', 'early', 'otherwise', 'think', 'still', 'surviving', 'suicidal', 'thought', 'sleep', 'week', 'coupling', 'severe', 'anxiety', 'disorder', 'taking', 'medicine', 'prescribed', 'although', 'first', 'week', 'rough', 'side', 'effect', 'felt', 'better', 'adjustment', 'period', 'medicine', 'job', 'reduce', 'obsessive', 'side', 'depression', 'remove', 'constant', 'invasive', 'terrible', 'thought', 'much', 'sociable', 'confident', 'pretty', 'much', 'getting', 'life', 'back', 'track', 'feeling', 'ok', 'need', 'immediate', 'assistance', 'highly', 'recommend', 'dr', 'lim', 'rather', 'going', 'polyclinic', 'get', 'referral', 'see', 'psychiatrist', 'general', 'hospital', 'waiting', 'time', 'super', 'long', 'prevent', 'tragedy', 'happening', 'mental', 'illness', 'something', 'can', 'not', 'ignored', 'neglected', 'directly', 'affect', 'physical', 'health']"
89,Gleneagles Hospital Medini Johor,Nusajaya,"['came', 'morning', 'register', 'mum', 'check', 'got', 'name', 'registered', 'told', 'nurse', 'clinic', 'th', 'floor', 'bring', 'mum', 'mum', 'old', 'afraid', 'interaction', 'people', 'crowded', 'came', 'doctor', 'went', 'round', 'told', 'wait', 'hour', 'courtesy', 'call', 'inform', 'wait', 'doctor', 'come', 'blood', 'test', 'said', 'want', 'find', 'doctor', 'away', 'blood', 'check', 'cam', 'back', 'conic', 'waited', 'doctor', 'patient', 'went', 'asked', 'hour', 'later', 'nurse', 'said', 'wait', 'blood', 'test', 'seeing', 'doctor', 'rubbish', 'clearly', 'normal', 'nurse', 'clinic', 'around', 'happen', 'nurse', 'went', 'leave', 'wedding', 'think', 'pure', 'poor', 'management', 'worst', 'experience', 'hospital', 'doctor', 'best', 'hospital', 'got', 'complaint', 'compliment', 'think', 'hospital', 'ceo', 'look', 'change', 'personnel']"
90,Gleneagles Hospital Medini Johor,Nusajaya,"['one', 'best', 'hospital', 'ever', 'visited', 'staff', 'helpful', 'friendly', 'feel', 'like', 'home']"
91,Gleneagles Hospital Medini Johor,Nusajaya,"['doctor', 'knowledgeable', 'professional', 'staff', 'helpful', 'five', 'star', 'hotel', 'like', 'atmosphere']"
92,Gleneagles Hospital Medini Johor,Nusajaya,"['bring', 'month', 'twin', 'baby', 'wait', 'pm', 'till', 'know', 'cant', 'admitted', 'information', 'given', 'verbal', 'confirmation', 'coming', 'hospital', 'totally', 'different', 'arrived', 'referal', 'memo', 'given', 'doctor', 'without', 'patient', 'acknowledgement', 'disappointed']"
